Date,Open,High,Low,Close,Volume
2000-01-07,27.004,28.5747,26.9561,28.5747,58876405.87016
2000-01-10,29.8826,30.4052,29.317,29.8826,76817953.122928
2000-01-11,30.8448,32.1918,30.7521,31.2345,151117601.38514
2000-01-12,31.6761,33.0231,31.1046,31.8021,139434123.28268
2000-01-13,32.2847,32.4175,31.1046,31.7152,109030029.37857
2000-01-14,34.335,37.1257,34.2421,35.9057,264186537.37633
2000-01-18,34.9406,36.82,34.9406,35.558,146273555.71721
2000-01-19,35.2083,35.558,34.8156,34.8605,65282606.806661
2000-01-20,34.7696,35.1164,33.24,33.3298,100287766.31052
2000-01-21,33.4627,34.2421,33.3298,34.1191,79594980.067734
2000-01-24,35.599,36.5123,34.2421,34.4189,107208285.94374
2000-01-25,34.6358,35.4661,33.9355,35.3811,73612844.081145
2000-01-26,35.1164,35.2492,33.5887,33.6385,70638106.752987
2000-01-27,34.6358,35.2492,33.2888,34.2031,88081665.97417
2000-01-28,33.8984,34.4189,32.4175,32.7643,77252041.489486
2000-01-31,32.6334,34.5118,32.3754,34.4668,98068891.44315
2000-02-01,34.2861,35.3333,33.6766,35.3333,68840425.251043
2000-02-02,35.2083,35.8646,34.7267,34.8605,74612826.030265
2000-02-03,35.425,36.4722,35.1164,36.2964,80408435.968798
2000-02-04,36.3823,37.7333,36.3384,36.5123,80161729.495084
2000-02-07,36.5611,37.6932,36.2964,37.6092,61331380.264059
2000-02-08,37.9081,38.3516,37.6503,37.9081,54477624.714185
2000-02-09,37.6932,37.9599,36.4263,36.4722,55321737.466941
2000-02-10,36.3823,37.6932,35.9457,37.5174,62376061.67606
2000-02-11,37.3856,37.9081,36.6871,36.9108,54090811.534773
2000-02-14,37.0378,38.3057,36.82,38.3057,49245906.950846
2000-02-15,38.3057,39.3529,36.6871,39.0442,89928912.764683
2000-02-16,38.8253,39.3529,37.3025,37.3426,65973142.51195
2000-02-17,37.9599,39.1712,37.6092,38.3516,69726086.401779
2000-02-18,38.3516,38.5255,36.6461,36.7291,72162155.430012
2000-02-22,36.5611,37.2126,35.3811,37.2126,65605814.133789
2000-02-23,36.6871,38.7404,36.3384,37.999,58511943.957796
2000-02-24,39.1712,40.6178,38.4298,39.8296,122272794.23633
2000-02-25,39.7054,40.2203,39.3049,39.4808,66329860.871714
2000-02-28,38.9152,39.9203,37.7333,39.1712,67939008.775806
2000-02-29,39.4379,40.3111,38.7804,39.3948,63629625.521854
