Date,Open,High,Low,Close,Volume
2020-03-12,62.8334,66.2858,60.8833,60.9411,426143545.32526
2020-03-13,65.0286,68.7194,62.1016,68.2419,377526630.27519
2020-03-16,59.3999,63.604,58.9203,59.4637,328332595.23873
2020-03-17,60.7637,63.2441,58.5285,62.0796,329994914.24864
2020-03-18,58.8625,61.3758,58.2114,60.5572,305736080.62685
2020-03-19,60.7338,62.0756,59.5613,60.0927,276839408.62363
2020-03-20,60.6829,61.8254,55.9723,56.2783,409055319.07971
2020-03-23,55.9912,56.0959,52.1968,55.084,342924585.58437
2020-03-24,58.027,60.8085,57.5206,60.6082,292800749.07878
2020-03-25,61.5592,63.3996,59.9741,60.2771,309166230.50176
2020-03-26,60.5204,63.5063,60.4805,63.4465,257189423.22598
2020-03-27,62.0528,62.8154,60.65,60.8215,207959340.57092
2020-03-30,61.5563,62.7296,61.2292,62.5562,171054986.69939
2020-03-31,62.7486,64.4424,61.8683,62.4265,200612509.30867
2020-04-01,60.5164,61.0597,58.7039,59.1456,179448151.79851
2020-04-02,59.003,60.1845,58.1576,60.1306,168975082.83961
2020-04-03,59.6062,60.321,58.6681,59.2682,132260413.78797
2020-04-06,61.5941,64.5929,61.2242,64.4374,205519093.93089
2020-04-07,66.4812,66.7035,63.586,63.6897,206605691.20641
2020-04-08,64.5023,65.6398,64.1294,65.3187,171990670.05495
2020-04-09,65.9648,66.3027,64.9858,65.7934,165087641.36907
2020-04-13,65.873,67.195,65.2599,67.0834,133424210.82321
2020-04-14,68.7394,70.7641,68.2618,70.472,198568402.30493
2020-04-15,69.3275,70.2956,68.8948,69.828,133558265.47516
2020-04-16,70.5498,70.7512,69.3156,70.3843,160004830.85475
2020-04-17,69.8909,70.4441,67.9667,69.4272,219194852.07071
2020-04-20,68.2369,69.1511,67.9647,67.9846,132397817.62458
2020-04-21,67.8261,68.0634,65.1622,65.887,184308646.26339
2020-04-22,67.1721,68.2239,66.8251,67.7813,119202705.09853
2020-04-23,67.7275,69.1681,67.4822,67.5211,127101830.85438
2020-04-24,68.0514,69.48,68.0016,69.4701,128827287.86307
2020-04-27,69.1799,69.8549,68.7264,69.52,119233467.64555
2020-04-28,69.9865,70.173,68.2997,68.3923,114057488.81209
