Date,Open,High,Low,Close,Volume
2020-01-02,116.359,117.159,116.154,116.72,3653331.8247644
2020-01-03,115.129,116.242,115.119,115.784,2753980.0099436
2020-01-06,114.993,115.696,114.797,115.569,2815041.2577284
2020-01-07,115.227,116.33,114.973,115.656,3800835.453519
2020-01-08,115.94,117.111,115.432,116.623,5042467.7829945
2020-01-09,117.003,117.911,116.623,117.862,4330894.3421782
2020-01-10,118.067,118.828,117.471,117.823,3777250.5708982
2020-01-13,116.769,117.784,116.418,117.745,4097392.0155652
2020-01-14,117.453,118.184,116.828,117.071,4273614.1352273
2020-01-15,117.218,118.984,116.974,117.765,4694184.7379321
2020-01-16,118.36,119.111,118.077,118.906,5013196.9937106
2020-01-17,117.696,119.228,117.345,119.209,6524292.5246126
2020-01-21,118.789,120.107,118.604,119.951,8404706.598484
2020-01-22,123.532,125.65,122.868,124.02,19109283.030068
2020-01-23,124.293,124.469,122.527,123.142,6564267.0408748
2020-01-24,123.581,124.049,121.064,121.151,6474234.2081214
2020-01-27,119.385,120.722,119.024,119.473,4834119.1123131
2020-01-28,120.243,121.072,119.589,120.282,4004556.7040365
2020-01-29,119.951,120.302,118.594,118.672,3544132.4964022
2020-01-30,117.882,118.048,116.34,117.891,5868270.6685559
2020-01-31,123.162,124.167,121.346,123.874,22037823.141183
2020-02-03,124.333,126.929,124.03,126.06,10311436.306689
2020-02-04,127.367,128.744,126.616,128.529,6521543.3287977
2020-02-05,129.457,135.692,129.407,134.745,16691843.320484
2020-02-06,135.175,136.825,133.955,135.126,9746458.634959
2020-02-07,134.589,135.458,133.174,133.594,7375557.4924717
2020-02-10,133.223,134.501,132.003,134.491,6016489.5185848
2020-02-11,135.106,135.184,133.018,133.662,4403580.4973504
2020-02-12,133.906,135.516,133.701,135.253,5095841.9390897
2020-02-13,134.443,134.843,133.594,134.385,4387028.9654837
2020-02-14,134.589,134.599,130.422,131.242,7003319.6580836
2020-02-18,130.442,131.837,130.315,131.603,3839115.1617761
2020-02-19,131.965,132.296,130.91,131.388,3138424.7655927
2020-02-20,131.339,132.043,130.208,131.701,3307709.853698
