Date,Open,High,Low,Close,Volume
2020-06-04,180.166,181.666,178.212,178.806,29422255.496922
2020-06-05,178.509,183.512,177.924,182.996,40809705.008948
2020-06-08,181.756,184.328,180.306,184.138,33974214.446824
2020-06-09,183.781,186.412,183.056,185.548,30467831.903858
2020-06-10,186.828,194.066,186.72,192.428,44879749.463433
2020-06-11,188.794,191.366,181.884,182.073,54068352.029391
2020-06-12,186.253,187.414,181.031,183.522,44369557.388881
2020-06-15,180.435,186.53,179.889,184.704,33522833.854313
2020-06-16,188.557,191.187,187.157,189.231,43533867.442565
2020-06-17,190.641,191.921,189.35,189.877,26277680.514569
2020-06-18,189.648,192.09,189.648,191.921,23591202.717099
2020-06-19,194.136,194.8,190.006,190.76,45461624.1384
2020-06-22,191.396,196.26,190.839,196.071,33572537.443698
2020-06-23,197.56,199.357,196.915,197.382,31627390.938217
2020-06-24,197.084,198.702,192.159,193.4,37584307.300325
2020-06-25,193.36,196.111,191.078,195.843,28442382.432406
2020-06-26,195.237,195.396,190.492,191.931,55931277.693694
2020-06-29,191.386,194.076,189.211,193.986,27314722.175378
2020-06-30,193.44,199.804,193.302,198.93,35098136.660317
2020-07-01,198.592,201.721,197.242,200.102,32797414.681356
2020-07-02,201.054,203.348,200.399,201.631,29988927.183186
2020-07-06,204.132,206.396,203.418,205.97,32630081.076881
2020-07-07,205.72,209.841,203.318,203.577,34372292.412078
2020-07-08,205.343,208.48,204.013,208.064,34371568.172438
2020-07-09,211.489,211.539,206.733,209.494,33882241.049057
2020-07-10,208.819,209.255,206.346,208.857,26778738.506992
2020-07-13,209.652,210.962,201.869,202.435,39011299.124371
2020-07-14,201.501,204.152,197.501,203.675,38455024.658632
2020-07-15,204.838,206.594,200.429,203.368,32918331.47523
2020-07-16,200.777,201.074,197.769,199.327,30628166.875491
2020-07-17,199.874,200.439,196.875,198.335,32361709.495338
2020-07-20,200.399,207.537,198.464,206.863,37731807.415928
2020-07-21,208.857,209.127,203.358,204.053,38980784.359926
2020-07-22,204.5,207.537,203.715,207.011,50744767.974327
2020-07-23,202.554,206.187,197.619,197.998,69006022.239247
2020-07-24,195.922,198.315,193.083,196.785,40741519.710379
2020-07-27,196.955,199.377,196.359,199.258,30853437.636544
2020-07-28,199.029,200.102,197.212,197.491,23785298.940462
2020-07-29,197.958,200.052,197.481,199.466,20083418.030073
2020-07-30,196.498,199.864,195.078,199.308,25655488.154194
2020-07-31,199.804,200.499,194.523,200.409,52424754.130493
2020-08-03,206.783,212.759,205.711,211.677,80796662.70736
2020-08-04,209.344,209.94,205.582,208.5,50411652.995257
2020-08-05,210.069,210.169,206.833,208.173,29521289.979353
2020-08-06,207.577,211.529,206.813,211.509,33406728.872343
2020-08-07,210.019,210.863,206.197,207.717,28459249.459892
2020-08-10,206.933,207.14,201.721,203.577,37559567.314535
2020-08-11,202.524,203.011,198.592,198.812,37283364.07347
2020-08-12,200.677,205.552,200.152,204.49,28685265.61362
2020-08-13,204.718,206.614,203.478,204.023,23107568.782092
2020-08-14,204.063,204.867,202.871,204.202,18371320.558936
2020-08-17,204.877,206.456,204.211,205.552,20648250.409549
2020-08-18,205.8,207.597,204.51,206.753,21826100.775774
2020-08-19,207.26,207.846,205.036,205.483,28193808.07739
2020-08-20,205.323,210.685,204.698,210.267,27534485.088938
2020-08-21,209.553,211.906,208.57,208.739,36992276.14652
2020-08-24,210.476,211.201,208.173,209.384,25981971.153036
2020-08-25,208.819,212.253,208.819,212.114,23515993.603501
2020-08-26,213.514,217.635,212.998,216.701,40412476.186971
2020-08-27,218.428,226.51,214.993,222.031,58782795.502235
2020-08-28,223.601,226.003,222.031,224.325,26831788.305114
2020-08-31,222.448,224.116,219.799,220.99,29363902.330648
2020-09-01,220.97,222.896,219.917,222.717,26319846.572351
2020-09-02,223.391,228.187,222.797,227.006,34779350.344487
2020-09-03,224.663,224.703,210.645,212.939,59597246.793757
2020-09-04,210.784,213.971,201.064,209.94,60886931.243383
2020-09-08,202.365,205.81,198.146,198.602,54009054.027538
2020-09-09,203.428,210.526,202.564,207.06,46615212.980349
2020-09-10,209.107,210.426,200.002,201.244,36188324.818837
2020-09-11,203.051,204.431,197.202,199.923,34309140.528638
2020-09-14,200.132,204.986,199.923,201.284,30998341.972522
2020-09-15,204.221,205.562,202.791,204.569,22271240.215565
2020-09-16,206.396,206.426,200.529,200.926,26912985.742294
2020-09-17,196.032,200.221,195.942,198.832,34708343.633915
2020-09-18,198.742,199.546,192.309,196.369,56357210.177375
2020-09-21,193.242,198.652,192.438,198.484,40656201.460451
2020-09-22,200.936,203.924,198.026,203.248,34204022.030321
2020-09-23,203.725,203.924,196.012,196.568,31435126.970632
2020-09-24,195.833,201.442,195.188,199.099,31842012.656896
2020-09-25,199.446,204.828,198.484,203.646,30040651.391092
2020-09-28,206.654,208.302,203.884,205.225,32660900.04212
2020-09-29,205.135,205.85,202.674,203.091,24965890.135698
2020-09-30,203.557,207.727,202.405,206.108,34522439.678963
2020-10-01,209.195,209.682,207.09,208.203,27715049.413392
2020-10-02,203.825,206.763,201.412,202.058,33834314.314643
2020-10-05,203.071,206.187,202.841,206.157,21768765.97706
2020-10-06,204.608,205.96,200.707,201.779,29139499.851331
2020-10-07,202.921,205.89,202.584,205.612,26207406.101935
2020-10-08,206.287,206.962,204.123,206.356,20334231.584975
2020-10-09,207.001,211.539,207.001,211.489,27000323.603455
2020-10-12,214.388,219.372,212.452,216.949,41290654.523037
2020-10-13,218.259,220.671,215.985,218.399,29544211.81139
2020-10-14,218.528,219.709,214.725,216.412,23932373.980782
2020-10-15,212.739,215.917,211.667,215.251,23198995.222803
2020-10-16,215.738,217.832,214.914,215.251,26591958.212004
2020-10-19,215.975,217.842,209.414,209.91,28192053.382743
2020-10-20,211.479,213.008,208.809,210.337,23219862.188547
2020-10-21,208.837,212.561,208.837,210.486,23190669.992457
2020-10-22,209.622,211.706,207.447,210.576,22809560.790716
2020-10-23,210.714,211.936,208.867,211.886,19266559.321669
2020-10-26,209.543,211.986,203.924,205.86,37872190.038774
2020-10-27,207.35,210.357,206.108,208.957,37452524.897286
2020-10-28,203.498,204.628,198.046,198.622,52244884.834343
2020-10-29,199.962,203.188,199.268,200.608,32076798.254714
2020-10-30,199.397,200.181,195.605,198.415,37738047.56136
2020-11-02,200.181,201.154,196.101,198.275,31474296.348404
2020-11-03,199.784,203.944,199.029,202.296,28075911.131139
2020-11-04,209.712,213.931,208.153,212.035,43178989.011964
2020-11-05,217.585,219.61,216.701,218.815,36819625.071868
2020-11-06,217.802,219.847,213.653,219.242,25749040.978603
2020-11-09,219.927,223.541,213.514,214,45304857.98602
2020-11-10,210.189,212.143,205.503,206.783,44947857.200871
2020-11-11,208.133,213.663,207.944,212.193,30044199.057309
2020-11-12,212.849,214.705,210.149,211.122,22059153.839268
2020-11-13,212.016,213.057,209.851,212.153,19012148.743468
2020-11-16,210.556,213.376,210.209,212.869,25464781.452927
2020-11-17,211.756,213.316,209.771,210.149,24649168.759035
2020-11-18,209.9,211.409,207.25,207.38,28878705.085599
2020-11-19,207.677,209.285,206.257,208.7,25234825.798184
2020-11-20,208.49,209.533,206.327,206.713,23250435.375663
2020-11-23,207.27,208.57,204.5,206.436,26141470.076126
2020-11-24,205.92,210.496,205.195,210.109,34585624.802888
2020-11-25,211.349,211.529,208.739,210.119,21387569.141316
2020-11-27,211.092,212.482,210.287,211.469,14770980.262026
2020-11-30,210.347,211.002,207.15,210.317,33654331.195019
2020-12-01,210.754,213.523,209.602,212.422,31482855.269427
2020-12-02,211.122,211.687,209.067,211.599,24147540.641945
2020-12-03,210.853,212.59,209.9,210.486,25568854.386924
2020-12-04,210.466,211.609,209.434,210.605,25105859.77071
2020-12-07,210.615,211.756,209.245,210.536,25041786.219301
2020-12-08,210.219,213.106,209.156,212.223,23683109.633899
2020-12-09,211.399,211.459,207.517,208.094,32998019.995887
2020-12-10,208.064,209.334,206.684,206.843,26938745.102932
2020-12-11,206.376,209.572,205.443,209.514,31531835.62646
2020-12-14,209.245,212.422,209.146,210.446,29311882.987535
2020-12-15,211.399,211.639,208.52,210.377,27499866.635632
2020-12-16,210.992,216.245,210.962,215.44,35647753.96364
2020-12-17,216.005,217.018,214.1,215.578,33095573.765842
2020-12-18,214.755,215.848,212.233,214.755,64484605.25055
2020-12-21,213.743,220.077,213.484,218.696,37844876.43368
2020-12-22,218.795,221.674,217.972,220.017,23047151.683939
